t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
4584,4.3,15.0,10.7,4100,1,0.0,6822,44.7,9,50.0,0,1,7200,2,0.00
4600,4.4,15.0,10.6,4100,1,0.0,6756,44.6,9,50.0,0,1,7200,2,0.00
4631,4.7,15.0,10.3,4100,1,0.0,6758,44.9,0,50.0,0,1,7200,2,0.00
4647,4.7,15.0,10.3,4100,1,0.0,6822,44.1,2,50.0,0,1,7200,2,0.00
4662,4.7,15.0,10.3,4100,1,0.0,6822,44.8,4,50.0,0,1,7200,2,0.00
4693,4.8,15.0,10.2,4100,1,0.0,6758,44.3,6,50.0,0,1,7200,2,0.00
4709,4.7,15.0,10.3,4100,1,0.0,6758,44.9,8,50.0,0,1,7200,2,0.00
4724,4.9,15.0,10.1,4100,1,0.0,6825,44.0,9,50.0,0,1,7200,2,0.00
4739,4.8,15.0,10.2,4100,1,0.0,6824,44.6,9,50.0,0,1,7200,2,0.00
4771,5.0,15.0,10.0,4100,1,0.0,6758,43.5,9,50.0,0,1,7200,2,0.00
4787,5.1,15.0,9.9,4100,1,0.0,6758,44.2,9,50.0,0,1,7200,2,0.00
4802,5.3,15.0,9.7,4100,1,0.0,6825,43.9,9,50.0,0,1,7200,2,0.00
4832,5.5,15.0,9.5,4100,1,0.0,6758,43.7,1,50.0,0,1,7200,2,0.00
4909,5.7,15.0,9.3,4100,1,0.0,6758,43.5,63,50.0,0,1,7200,2,0.00
4924,5.8,15.0,9.2,4100,1,0.0,6758,43.1,9,50.0,0,1,7200,2,0.00
4940,6.0,15.0,9.0,4100,1,0.0,6822,42.9,9,50.0,0,1,7200,2,0.00
4970,6.2,15.0,8.8,4100,1,0.0,6822,42.8,9,50.0,0,1,7200,2,0.00
4986,6.4,15.0,8.6,4100,1,0.0,6756,42.9,9,50.0,0,1,7200,2,0.00
5002,6.7,15.0,8.3,4100,1,0.0,6756,42.3,1,50.0,0,1,7200,2,0.00
5036,7.0,15.0,8.0,4100,1,0.0,6821,42.1,2,49.0,0,1,7200,2,0.00
5049,7.2,15.0,7.8,4100,1,0.0,6821,42.3,5,49.0,0,1,7200,2,0.00
5064,7.2,15.0,7.8,4100,1,0.0,6756,41.7,6,49.0,0,1,7200,2,0.00
5080,7.4,15.0,7.6,4100,1,0.0,6755,41.7,8,49.0,0,1,7200,2,0.00
5112,7.6,15.0,7.4,4100,1,0.0,6821,41.4,9,49.0,0,1,7200,2,0.00
5127,7.7,15.0,7.3,4100,1,0.0,6821,41.7,9,49.0,0,1,7200,2,0.00
5143,7.8,15.0,7.2,4100,1,0.0,6753,41.1,9,49.0,0,1,7200,2,0.00
5174,8.0,15.0,7.0,4100,1,0.0,6752,41.3,9,49.0,0,1,7200,2,0.00
5189,8.1,15.0,6.9,4100,1,0.0,6819,41.0,0,49.0,0,1,7200,2,0.00
